model,accuracy,precision,recall,f1
EN-LR,0.82,0.8,0.8533333333333334,0.8258064516129032
EN-NB,0.8066666666666666,0.7804878048780488,0.8533333333333334,0.8152866242038217
EN-SVM,0.8066666666666666,0.7804878048780488,0.8533333333333334,0.8152866242038217
AR-LR,0.9345947650583413,0.930625,0.9391951557966444,0.9348904376216488
AR-NB,0.9089246294544308,0.9144610663598005,0.9022328749842311,0.9083058166116332
AR-SVM,0.9279091769157994,0.9252758274824473,0.9309953324082251,0.9281267685342388
